Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"108","'398","Kazakhstan","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.47","E",,,,,,,"0.23","E",,
"108","'398","Kazakhstan","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.34","E",,,,,,,"0.3","E",,
"108","'398","Kazakhstan","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.36","E",,,,,,,"0.62","E",,
"108","'398","Kazakhstan","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.12","E",,,,,,,"0.17","E",,
"108","'398","Kazakhstan","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","9.3","E","6.3","E","6.9","E","6.6","E","5.2","E","5.6","E"
"108","'398","Kazakhstan","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","1.7","E","1.2","E","1.3","E","1.3","E","1","E","1.1","E"
"118","'414","Kuwait","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.17","E","2.21","E","2.25","E","2.34","E","2.59","E","2.89","E"
"118","'414","Kuwait","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.25","E",,,,,,,"0.33","E",,
"118","'414","Kuwait","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.02","E",,,,,,,"0.45","E",,
"118","'414","Kuwait","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.33","E",,,,,,,"0.13","E",,
"118","'414","Kuwait","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.92","E",,,,,,,"0.91","E",,
"118","'414","Kuwait","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.64","E",,,,,,,"0.61","E",,
"118","'414","Kuwait","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.17","E",,,,,,,"0.15","E",,
"118","'414","Kuwait","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%",,"O",,"O",,"O",,"O",,"O",,"O"
"118","'414","Kuwait","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No",,"O",,"O",,"O",,"O",,"O",,"O"
"113","'417","Kyrgyzstan","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.23","E","3.19","E","3.25","E","3.46","E","3.81","E","4.2","E"
"113","'417","Kyrgyzstan","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.53","E",,,,,,,"0.68","E",,
"113","'417","Kyrgyzstan","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.8","E",,,,,,,"0.94","E",,
"113","'417","Kyrgyzstan","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.56","E",,,,,,,"0.4","E",,
"113","'417","Kyrgyzstan","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.45","E",,,,,,,"0.55","E",,
"113","'417","Kyrgyzstan","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.47","E",,,,,,,"1.02","E",,
"113","'417","Kyrgyzstan","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.17","E",,,,,,,"0.23","E",,
"113","'417","Kyrgyzstan","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","40.9","E","34","E","31","E","41","E","36.7","E","35.9","E"
"113","'417","Kyrgyzstan","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","2.5","E","2.1","E","2","E","2.6","E","2.4","E","2.4","E"
"120","'418","Lao People's Democratic Republic","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.8","E","3.86","E","3.99","E","4.17","E","4.34","E","4.65","E"
